Period,Site,Vendor,Distro,Item,Item name,Item size,Category,,Sub category,Sold qty,Amount
Jun-22,AECS1002,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1002,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,4,140
Jun-22,AECS1002,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1002,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,3,105
Jun-22,AECS1005,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1006,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1007,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1007,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1007,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1011,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104688,Rich Tobacco With Vanilla Caramel Notes,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1011,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1011,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1011,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1011,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
