Site,AESC number,Name,Address,Local,Area,Emirates,Type,Coordinate,Email,Phone,"H/L, E/M, D",Insta,Talabat,Noon,ElGrocer,Store Size SqFt,Open Date,Pront Grab&Go,Price Zone,With Expo stand,Opening Hour,Approval 
5,AE7981,Al Jaddaf,"Garhoud, Chillis",Garhoud,Old Dubai,Dubai,Petrol Station,"25°14'45.7""N 55°20'19.5""E",eps00005@eppcouae.com,04 - 2825746,E/M,,,,,376.6,19-Jan-89,,C-20/Z-1,yes,,
9,AE2009,Park,Jumeira 1,Jumeirah,New Dubai,Dubai,Petrol Station,"25°11'51.4""N 55°14'48.2""E",eps00009@eppcouae.com,04 - 3429236,H/L,,Talabat,,,"1,022.20",18-Nov-88,Pronto-Digital Menu,C-20/Z-1,No,,
10,AE2010,Al Bayan,"Business Bay, After DNATA",Business Bay,New Dubai,Dubai,Petrol Station,"25°11'15.1""N 55°15'26.5""E",eps00010@eppcouae.com,04 - 3439184,H/L,,,,,"1,237.40",19-Nov-88,,C-20/Z-1,No,,
15,AE2015,Ibn Majid,"Rashidiya, after Civil Defence",Rashidiya,Old Dubai,Dubai,Petrol Station,"25°13'26.7""N 55°22'37.7""E",eps00015@eppcouae.com,04 - 2853150,H/L,,,,,"1,022.20",07-Sep-99,,C-20/Z-1,yes,,
24,AE2024,Beljafla,Jebel Ali Industrial Area 1,Jebel Ali,Old Dubai,Dubai,Petrol Station,"24°59'04.7""N 55°06'30.4""E",eps00024@eppcouae.com,04 - 8801201,H/L,,,,,"1,237.40",03-Mar-00,,C-20/Z-1,yes,,
33,AE2033,Port Saeed,"22 A St, behind Al Habthoor Motors, Deira",Al Khabaisi,Old Dubai,Dubai,Petrol Station,"25°15'42.4""N 55°19'57.5""E",eps00033@eppcouae.com,04 - 2625287,H/L,,,,,"1,022.20",07-Jun-89,,C-20/Z-1,No,,
36,AE2036,Al Rasheed,"Al Rasheed Rd, D 82, Abu Hail Health Center, Deira",Abu Hail,Old Dubai,Dubai,Petrol Station,"25°16'56.3""N 55°20'02.6""E",eps00036@eppcouae.com,04 - 2683228,H/L,,,,,"1,022.20",28-Aug-89,,C-20/Z-1,yes,,
39,AE2039,Al Nahdah,"Al Garhoud, D 70",Garhoud,Old Dubai,Dubai,Petrol Station,"25°14'45.7""N 55°20'19.6""E",eps00039@eppcouae.com,04 - 2826976,H/L,,,,,688.64,12-Jul-89,,C-20/Z-1,yes,,
48,AE7982,Nad Al Sheba,"Nad Al Shiba, Dubai-Al Ain Rd, E 66",Nad Al Sheba 1,Old Dubai,Dubai,Petrol Station,"25°10'15.7""N 55°19'22.2""E",eps00048@eppcouae.com,04 - 3361081,E/M,,,,,613.32,31-Dec-89,,C-20/Z-1,yes,,
51,AE7984,Rafadah,"Al Khaleej Rd, D 92",Raffa,Old Dubai,Dubai,Petrol Station,"25°15'07.7""N 55°16'57.3""E",eps00051@eppcouae.com,04 - 3984930,E/M,,,,,581.04,31-Dec-89,,C-20/Z-1,No,,
53,AE2053,Nabhan,"Al Wuheida Rd, D 93, After Century Mall",Hor Al Anz,Old Dubai,Dubai,Petrol Station,"25°17'29.4""N 55°20'40.4""E",eps00053@eppcouae.com,04 - 2966635,H/L,,,,,150.64,24-Jan-90,,C-20/Z-1,yes,,
58,AE2058,Al Thenia,"Jumeirah Rd, D 94",Jumeirah,Old Dubai,Dubai,Petrol Station,"25°08'55.9""N 55°11'54.8""E",eps00058@eppcouae.com,04 - 3481908,H/L,,,,,150.64,06-Dec-90,,C-20/Z-1,yes,,
60,AE2060,Al Kifaf,"Shk Rasheed Rd, D 75, Opp Musallah Al Eid",Jaffiliya,Old Dubai,Dubai,Petrol Station,"25°14'28.4""N 55°17'29.2""E",eps00060@eppcouae.com,04 - 3981082,H/L,,,,,"1,022.20",31-Dec-89,,C-20/Z-1,yes,,
63,AE2063,Al Hoot,"Al Mankhool Rd, D 90",Jaffiliya,Old Dubai,Dubai,Petrol Station,"25°14'39.6""N 55°17'02.4""E",eps00063@eppcouae.com,04 - 3983859,H/L,,,,,807,25-Oct-92,,C-20/Z-1,yes,,
73,AE2073,Al Ekhlas,"Al Meydan Rd, D 69, Opp Safa Intersection",Business Bay,Old Dubai,Dubai,Petrol Station,"25°10'42.1""N 55°15'11.7""E",eps00073@eppcouae.com,04 - 3431189,H/L,,,,,"1,022.20",21-Sep-97,,C-20/Z-1,No,,
77,AE2077,Al Musalla,"Al Nahda Rd, D 93, DM Al Tawar Center",Twar 2,Old Dubai,Dubai,Petrol Station,"25°15'47.9""N 55°23'03.1""E",eps00077@eppcouae.com,04 - 2611176,H/L,,,,,"1,022.20",14-May-97,,C-20/Z-1,yes,,
