Product_name,Product_price,Product_website
"Two Brothers Organic Farms Amorearth Sugarcane Jaggery Powder, Crushed Granular 500 GMS ",239,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_grocery_sr_pg1_1?ie=UTF8&adId=A0706295197660FSKD2LO&url=%2FBrothers-Organic-Sugarcane-Jaggery-Granular%2Fdp%2FB084G3T9KF%2Fref%3Dsr_1_1_sspa%3Fcrid%3D68KU0Y0A9N56%26keywords%3Dorganic%2Bjaggery%2Bcubes%26qid%3D1656091503%26s%3Dgrocery%26sprefix%3Dorganic%2Bjaggery%2Bcubes%252Cgrocery%252C379%26sr%3D1-1-spons%26psc%3D1&qualifier=1656091503&id=4295613854533899&widgetName=sp_atf
Two Brothers Organic Farms Amorearth Sugarcane Jaggery Block 900 GMS ,299,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_grocery_sr_pg1_1?ie=UTF8&adId=A07061393UOO63AV0K9MO&url=%2FAMOREARTH-2-Brothers-Organic-Farms-Jaggery%2Fdp%2FB07CK51LT9%2Fref%3Dsr_1_2_sspa%3Fcrid%3D68KU0Y0A9N56%26keywords%3Dorganic%2Bjaggery%2Bcubes%26qid%3D1656091503%26s%3Dgrocery%26sprefix%3Dorganic%2Bjaggery%2Bcubes%252Cgrocery%252C379%26sr%3D1-2-spons%26psc%3D1&qualifier=1656091503&id=4295613854533899&widgetName=sp_atf
"Slurrp Farm Natural Jaggery Powder, 300 G ",203,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_grocery_sr_pg1_1?ie=UTF8&adId=A060778933OS0AYAOAUC6&url=%2FSlurrp-Farm-Organic-Jaggery-Powder%2Fdp%2FB081N7BTW7%2Fref%3Dsr_1_3_sspa%3Fcrid%3D68KU0Y0A9N56%26keywords%3Dorganic%2Bjaggery%2Bcubes%26qid%3D1656091503%26s%3Dgrocery%26sprefix%3Dorganic%2Bjaggery%2Bcubes%252Cgrocery%252C379%26sr%3D1-3-spons%26psc%3D1&qualifier=1656091503&id=4295613854533899&widgetName=sp_atf
"Organic Jaggery Cubes 900gms [Pure, Natural, No Preservatives Added], Jaggery Cube, Gud Jaggery, Desi Jaggery (Gur, Gud) ",319,https://www.amazon.in/Organic-Jaggery-900gms-Natural-Preservatives/dp/B09PV41NMZ/ref=sr_1_4?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-4
Nutrigain Organics Jaggery Cubes 500gm - Organic (Pack of 2) ,335,https://www.amazon.in/Nutrigain-Organics-Jaggery-Cubes-500gm/dp/B093SHZCZK/ref=sr_1_5?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-5
"Dry Fruit Hub Jaggery Cubes 400gms [Pure, Natural, No Preservatives Added], Jaggery Cube, Gud Jaggery, Jaggery Organic Cubes ",229,https://www.amazon.in/Jaggery-400gms-Natural-Preservatives-Organic/dp/B07VBMG5DD/ref=sr_1_6?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-6
Maple Leaf Project Sweet Natural Healthy Gur Jaggery Cubes (400 Gm) || Gud || Natural Jaggery | Chemical Free Jaggery ,160,https://www.amazon.in/Maple-Leaf-Project-Natural-Healthy/dp/B085VV8R85/ref=sr_1_7?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-7
Ecofresh Organic Food Jaggery Cubes - 400 GMS ,120,https://www.amazon.in/Ecofresh-Organic-Food-Jaggery-Cubes/dp/B07V5JBQPM/ref=sr_1_8?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-8
"Dry Fruit Hub Jaggery Cubes 800gms [Pure, Natural, No Preservatives Added], Jaggery Cube, Gud Jaggery, Jaggery Organic Cubes ",329,https://www.amazon.in/Jaggery-800gms-Natural-Preservatives-Organic/dp/B08CSRFVLJ/ref=sr_1_9?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-9
Dr. JPG Organic Jaggery Cube 1Kg | Gud | Gur | INDIA ORGANIC certified | 100% Organic. (1 Kg) ,169,https://www.amazon.in/Dr-JPG-Organic-certified-Organic/dp/B09SQ2J9DH/ref=sr_1_10?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-10
